"city","agecat","pop"
"batr","65to74",13312
"batr","75p",12750
"batr","under65",201756
"denv","65to74",30643
"denv","75p",31783
"denv","under65",492210
"la","65to74",18711
"la","75p",170018
"la","under65",3337691
"tucs","65to74",29117
"tucs","75p",28711
"tucs","under65",428871
